날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
1994-05-31,213.71001,,,,1278.54,159.95
1994-04-29,210.81,,,,1294.93,157.47
1994-03-31,210.11,,,,1277.98,156.63
1994-02-28,220.82001,,,,1332.51,164.73
1994-01-31,225.25999,,,,1377.05,167.60001
1993-12-31,220.85001,,,,1358.1,168.02
1993-11-30,219.77,,,,1340.27,163.97
1993-10-29,220.5,,,,1386.07,164.7
1993-09-30,212.77,,,,1380.3,161.58
1993-08-31,216.58,,,,1395.07,164.46001
1993-07-30,209.48,,,,1351.38,157.63
1993-06-30,214.03,,,,1344.7,159.57001
1993-05-31,216.41,,,,1324.42,161.63
1993-04-30,209.44,,,,1320.58,157.78999
1993-03-31,219.8,,,,1353.61,163.39999
1993-02-26,217.28,,,,1327.39,160.56
1993-01-29,219.45,,,,1282.19,159.64
1992-12-31,222.08,,,,1273.9,161.10001
1992-11-30,221.03,,,,1239.44,160.71001
